area,lat,lon,district,name,population,state
99.1,51.93306,9.08306,Lippe,Blomberg,15093,North Rhine-Westphalia
98.68,47.83917,8.53417,Schwarzwald-Baar-Kreis,Blumberg,10155,Baden-Württemberg
50.45,48.267,10.817,Augsburg,Bobingen,17628,Bavaria
119.37,51.833,6.617,Borken,Bocholt,71061,North Rhine-Westphalia
145.4,51.48194,7.21583,Urban district,Bochum,364454,North Rhine-Westphalia
109.04,52.01167,10.13194,Hildesheim,Bockenem,9780,Lower Saxony
28.92,51.967,9.517,Holzminden,Bodenwerder,5588,Lower Saxony
49.74,48.917,12.683,Straubing-Bogen,Bogen,10085,Bavaria
47.26,53.367,10.717,Ludwigslust-Parchim,Boizenburg,10722,Mecklenburg-Western Pomerania
76.03,47.81944,8.34306,Waldshut,Bonndorf im Schwarzwald,6953,Baden-Württemberg
141.06,50.733,7.100,Urban district,Bonn,330579,North Rhine-Westphalia
76.98,48.85694,10.35222,Ostalbkreis,Bopfingen,11690,Baden-Württemberg
75.13,50.23139,7.59083,Rhein-Hunsrück-Kreis,Boppard,15369,Rhineland-Palatinate
138.76,51.567,9.250,Höxter,Borgentreich,8501,North Rhine-Westphalia
55.84,52.10000,8.30000,Gütersloh,Borgholzhausen,8964,North Rhine-Westphalia
82.3,51.04583,9.26722,Schwalm-Eder-Kreis,Borken,12506,Hesse
152.6,51.833,6.867,Borken,Borken,42650,North Rhine-Westphalia
30.74,53.58806,6.66972,Leer,Borkum,5002,Lower Saxony
62.35,51.117,12.500,Leipzig,Borna,19120,Saxony
82.72,50.75917,7.00500,Rhein-Sieg-Kreis,Bornheim,48348,North Rhine-Westphalia
100.7,51.52472,6.92278,Urban district,Bottrop,117388,North Rhine-Westphalia
101.81,49.48139,9.64167,Main-Tauber-Kreis,Boxberg,6718,Baden-Württemberg
45.74,49.083,9.067,Heilbronn,Brackenheim,16086,Baden-Württemberg
173.74,51.717,9.183,Höxter,Brakel,16125,North Rhine-Westphalia
38.18,53.333,8.483,Wesermarsch,Brake,14824,Lower Saxony
183.32,52.400,7.983,Osnabrück,Bramsche,31225,Lower Saxony
46.24,50.86889,13.32194,Mittelsachsen,Brand-Erbisdorf,9145,Saxony
228.80,52.41667,12.53333,Urban district,Brandenburg an der Havel,72040,Brandenburg
34.81,51.33472,12.60889,Leipzig,Brandis,9638,Saxony
20.26,50.27472,7.64611,Rhein-Lahn-Kreis,Braubach,2954,Rhineland-Palatinate
47.29,50.517,8.383,Lahn-Dill-Kreis,Braunfels,11007,Hesse
31.55,51.72694,10.61194,Goslar,Braunlage,5763,Lower Saxony
74.34,51.283,11.900,Saalekreis,Braunsbedra,10426,Saxony-Anhalt
59,51.267,7.467,Ennepe-Ruhr-Kreis,Breckerfeld,8912,North Rhine-Westphalia
